Wall time,Step,Value
1685337817.3966987,352999,171.0
1685337831.2913084,353399,171.0
1685337941.230934,354899,172.0
1685337953.3712208,355249,172.0
1685337974.9232447,355849,172.0
1685338071.2953825,356949,173.0
1685338078.2392268,357149,173.0
1685338085.749567,357349,173.0
1685338089.2852755,357449,173.0
1685338110.3617191,358049,173.0
1685338197.2140975,358849,174.0
1685338208.0319936,359149,174.0
1685338220.247989,359499,174.0
1685338221.9858022,359549,174.0
1685338228.9759424,359749,174.0
1685338242.938907,360149,174.0
1685338323.967241,360899,175.0
1685338327.4538178,360999,175.0
1685338334.3933299,361199,175.0
1685338341.413689,361399,175.0
1685338346.6768286,361549,175.0
1685338351.9540439,361699,175.0
1685338362.476033,361999,175.0
1685338478.37253,363649,176.0
1685338485.426536,363849,176.0
1685338490.7024128,363999,176.0
1685338603.2211072,365449,177.0
1685338613.6709578,365749,177.0
1685338615.4106631,365799,177.0
1685338638.547533,366449,177.0
1685338641.9848537,366549,177.0
1685338743.8458874,367699,178.0
1685338816.2103922,369413,178.0
1685338874.37444,369699,179.0
1685338876.1147518,369749,179.0
1685338879.5931761,369849,179.0
1685338888.3454692,370099,179.0
1685338927.7755616,371199,179.0
1685338931.2462645,371299,179.0
1685338932.984641,371349,179.0
1685338934.713504,371399,179.0
1685339032.8678913,372499,180.0
1685339049.031599,372949,180.0
1685339050.7849734,372999,180.0
1685339152.584709,374199,181.0
1685339170.5196235,374699,181.0
1685339175.7851453,374849,181.0
1685339182.84346,375049,181.0
1685339189.8690126,375249,181.0
1685339262.7013094,375799,182.0
1685339264.4444492,375849,182.0
1685339274.8018656,376149,182.0
1685339339.7001498,377699,182.0
1685339410.4424934,377999,183.0
1685339433.1240427,378649,183.0
1685339436.6211367,378749,183.0
1685339438.3552606,378799,183.0
1685339445.313017,378999,183.0
1685339448.7797647,379099,183.0
1685339453.9889302,379249,183.0
1685339457.4657674,379349,183.0
1685339516.8224335,380599,183.0
1685339570.0563443,380799,184.0
1685339587.9435058,381299,184.0
1685339612.3622677,381999,184.0
1685339617.5573056,382149,184.0
1685339702.8266191,382999,185.0
1685339727.5448897,383699,185.0
1685339739.7700496,384049,185.0
1685339744.9576,384199,185.0
1685339746.6946826,384249,185.0
1685339829.0072577,384949,186.0
1685339842.8893821,385349,186.0
1685339855.143842,385699,186.0
1685339862.182753,385899,186.0
1685339883.4699814,386499,186.0
1685339954.2226577,386799,187.0
1685339961.1355758,386999,187.0
1685339973.32811,387349,187.0
1685339982.0755725,387599,187.0
1685340084.9449475,388949,188.0
1685340102.2982507,389449,188.0
1685340105.7901232,389549,188.0
1685340109.2994397,389649,188.0
1685340118.0306847,389899,188.0
1685340142.7804675,390599,188.0
1685340226.47825,391249,189.0
1685340236.9940934,391549,189.0
1685340238.747383,391599,189.0
1685340251.5195165,391949,189.0
1685340253.254508,391999,189.0
1685340265.444512,392349,189.0
1685340267.1890526,392399,189.0
1685340349.2062986,393049,190.0
1685340350.956664,393099,190.0
1685340372.261071,393699,190.0
1685340510.88404,395999,191.0
1685340521.43952,396299,191.0
1685340526.6973174,396449,191.0
